40 1600
23 7 1
4 27 9
27 11 3
12 36 8
31 22 13
37 9 11
19 11 5
12 31 13
22 11 12
4 15 6
35 12 12
2 26 7
17 29 15
12 19 11
14 33 2
4 2 15
19 30 2
16 31 16
17 32 10
28 35 7
23 17 12
34 36 9
39 8 6
15 9 1
3 30 11
36 26 14
39 2 4
15 3 16
29 28 7
5 4 2
0 11 8
15 11 10
17 9 4
0 35 3
39 37 16
7 18 8
22 7 13
28 23 2
27 28 13
25 29 7
17 7 1
25 4 1
37 10 4
18 25 3
22 30 11
7 9 12
17 10 1
29 9 13
3 12 1
32 21 6
20 36 12
39 4 15
22 17 16
4 19 8
20 12 3
7 8 12
18 3 4
35 7 6
26 18 13
7 26 13
22 3 11
27 13 2
11 10 13
22 29 13
14 2 12
30 0 16
5 0 14
24 34 12
26 23 3
6 32 9
9 36 2
24 7 10
2 17 2
30 32 9
26 15 4
19 39 6
1 4 7
18 36 2
2 8 7
33 2 4
28 32 2
17 25 1
29 38 7
38 17 5
37 24 5
5 3 12
34 9 10
4 16 6
13 38 15
16 33 12
17 36 5
20 36 13
14 1 4
1 36 9
35 9 10
5 36 9
2 6 11
20 15 7
11 30 6
16 34 4
30 28 9
12 32 12
25 20 4
8 23 6
36 17 13
23 39 3
22 16 13
7 35 16
29 2 3
23 30 9
12 3 12
11 14 9
29 6 13
25 3 4
31 17 4
17 15 16
31 11 10
12 13 12
31 0 15
33 32 4
14 11 15
7 13 11
13 32 11
11 3 6
4 22 8
25 26 2
38 29 14
1 31 16
23 26 3
20 22 3
13 14 11
33 37 1
14 30 16
13 7 6
32 14 3
16 39 14
25 6 10
14 20 12
33 2 4
